Gruppe;Meget mindre end andre danskere;Noget mindre end andre danskere;Omkring det samme;Noget mere;Meget mere 
Ingen muslimske venner;37,95;33,4;24,7;2,86;1,1
1-2 muslimske venner;15,92;35,84;38,1;7,01;3,12
3 eller flere muslimske venner;10,43;26,27;39,72;10,33;13,25
Don't know;17,74;33,96;42,71;2,88;2,72
